Time (s),Channel 1 (V),Channel 2 (V)
-0.60487245,0.08702770722251618,0.4296729882653796
-0.60472474,0.08736247654884523,0.4333628592902398
-0.60457703,0.08769724587517458,0.4370527303151016
-0.60442932,0.08836678452783205,0.4407426013399585
-0.60428161,0.08836678452783235,0.4444324723648203
-0.6041339,0.08903632318049044,0.4481223433896805
-0.60398619,0.08937109250681947,0.4481223433896805
-0.60383848,0.08970586183314867,0.4518122144145422
-0.60369077,0.09004063115947741,0.4555020854393991
-0.60354306,0.0903754004858066,0.4555020854394007
-0.60339535,0.09071016981213564,0.4591919564642609
-0.60324764,0.09104493913846469,0.4628818274891211
-0.60309993,0.09137970846479389,0.4665716985139829
-0.60295222,0.09171447779112261,0.4702615695388398
-0.60280451,0.09204924711745181,0.4702615695388415
-0.6026568,0.09238401644378086,0.4739514405637016
-0.60250909,0.0927187857701099,0.4739514405637016
-0.6023613799999999,0.09305355509643909,0.4776413115885635
-0.60221367,0.09338832442276783,0.4813311826134202
-0.60206596,0.09372309374909703,0.4850210536382821
-0.60191825,0.09405786307542606,0.4850210536382821
-0.60177054,0.09439263240175511,0.4887109246631423
-0.6016228299999999,0.09472740172808415,0.4924007956880024
-0.60147512,0.09472740172808415,0.4924007956880024
-0.60132741,0.09539694038074223,0.4960906667128626
-0.6011797,0.09573170970707127,0.4997805377377228
-0.60103199,0.09573170970707143,0.4997805377377245
-0.60088428,0.09606647903340017,0.5034704087625813
-0.60073657,0.09606647903340032,0.5071602797874432
-0.60058886,0.09640124835972937,0.5071602797874432
-0.60044115,0.0967360176860584,0.5108501508123033
-0.60029344,0.0970707870123876,0.5145400218371634
-0.60014573,0.09740555633871634,0.5145400218371634
-0.59999802,0.09774032566504552,0.5182298928620236
-0.59985031,0.09807509499137457,0.5219197638868838
-0.5997026,0.09840986431770361,0.525609634911744
-0.59955489,0.09874463364403281,0.5256096349117456
-0.59940718,0.09907940297036154,0.5292995059366025
-0.59925947,0.09941417229669074,0.5329893769614643
-0.59911176,0.09941417229669074,0.5329893769614643
-0.59896405,0.09974894162301978,0.5366792479863245
-0.5988163399999999,0.100418480275678,0.5403691190111863
-0.59866863,0.1007532496020068,0.5440589900360432
-0.59852092,0.1007532496020069,0.5440589900360449
-0.59837321,0.101088018928336,0.5477488610609049
-0.5982255,0.101422788254665,0.5514387320857651
-0.5980777899999999,0.1017575575809942,0.5551286031106253
-0.59793008,0.1020923269073229,0.5551286031106253
-0.59778237,0.1024270962336521,0.5588184741354855
-0.59763466,0.1024270962336521,0.5625083451603456
-0.59748695,0.1030966348863102,0.5625083451603473
-0.59733924,0.1030966348863102,0.5661982161852042
-0.59719153,0.1034314042126392,0.5661982161852058
-0.59704382,0.1037661735389683,0.5735779582349261
-0.59689611,0.1041009428652973,0.5772678292597863
-0.5967484,0.1044357121916264,0.5772678292597879
-0.59660069,0.1044357121916264,0.5809577002846448
-0.59645298,0.1047704815179554,0.5809577002846464
-0.59630527,0.1051052508442844,0.5846475713095066
-0.59615756,0.1054400201706135,0.5883374423343668
-0.59600985,0.1054400201706136,0.5920273133592286
-0.59586214,0.1057747894969424,0.5957171843840855
-0.59571443,0.1061095588232716,0.5957171843840872
-0.59556672,0.1064443281496006,0.5957171843840872
-0.59541901,0.1064443281496006,0.5994070554089473
-0.5952712999999999,0.1067790974759298,0.6030969264338092
-0.59512359,0.1071138668022586,0.6067867974586659
-0.59497588,0.1071138668022587,0.6104766684835278
-0.59482817,0.1077834054549168,0.6104766684835278
-0.59468046,0.1081181747812458,0.614166539508388
-0.5945327499999999,0.1084529441075749,0.6178564105332481
-0.59438504,0.1084529441075749,0.6178564105332481
-0.59423733,0.1087877134339039,0.6252361525829685
-0.59408962,0.109122482760233,0.6252361525829685
-0.59394191,0.1091224827602331,0.6289260236078303
-0.5937942,0.1094572520865618,0.6326158946326871
-0.59364649,0.109792021412891,0.6363057656575489
-0.59349878,0.109792021412891,0.6363057656575489
-0.59335107,0.1101267907392201,0.6399956366824091
-0.59320336,0.1104615600655493,0.6399956366824108
-0.59305565,0.110796329391878,0.6436855077072676
-0.59290794,0.1107963293918782,0.6473753787321295
-0.59276023,0.1111310987182072,0.6510652497569897
-0.59261252,0.1114658680445362,0.6547551207818498
-0.59246481,0.1114658680445364,0.6547551207818515
-0.5923171,0.1118006373708651,0.6584449918067083
-0.59216939,0.1121354066971943,0.6621348628315702
-0.59202168,0.1121354066971943,0.6621348628315702
-0.59187397,0.1124701760235234,0.6658247338564303
-0.5917262599999999,0.1128049453498526,0.6695146048812921
-0.59157855,0.1131397146761813,0.673204475906149
-0.59143084,0.1131397146761815,0.6768943469310108
-0.59128313,0.1134744840025105,0.680584217955871
-0.59113542,0.1134744840025105,0.680584217955871
-0.5909877099999999,0.1138092533288397,0.6842740889807328
-0.59084,0.1141440226551684,0.6879639600055897
-0.59069229,0.1141440226551686,0.6916538310304514
-0.59054458,0.1144787919814976,0.6953437020553116
-0.59039687,0.1148135613078267,0.6953437020553116
-0.5902491600000001,0.1148135613078267,0.6990335730801701
-0.59010145,0.1151483306341557,0.702723444105032
-0.58995374,0.1151483306341557,0.7064133151298921
-0.58980603,0.1154830999604848,0.7064133151298921
-0.58965832,0.1154830999604849,0.7101031861547523
-0.58951061,0.1158178692868136,0.7101031861547523
-0.5893629,0.1158178692868138,0.7137930571796125
-0.58921519,0.1161526386131428,0.7174829282044727
-0.58906748,0.1164874079394719,0.7174829282044727
-0.58891977,0.1164874079394719,0.7211727992293345
-0.58877206,0.1164874079394719,0.7248626702541913
