,V1,V2,V3,V4,V5,V6,V7,V8,V9,Vr,V0,R0,V0gain,RL1,RL2,RL3,RL4,RL5,RL6,RL7,RL8,RL9,Vg1,Vg2,Vg3,Vg4,Vg5,Vg6,Vg7,Vg8,Vg9
0,0.033365885416666664,0.040486653645833336,0.043436686197916664,0.04669189453125,0.041300455729166664,0.046284993489583336,0.043131510416666664,0.049947102864583336,0.04425048828125,0.00396728515625,0.10040283203125,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
1,0.04852294921875,0.05615234375,0.059712727864583336,0.06327311197916667,0.055745442708333336,0.06195068359375,0.057576497395833336,0.0640869140625,0.058695475260416664,0.005605061848958333,0.145263671875,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
2,0.060017903645833336,0.07395426432291667,0.07548014322916667,0.08076985677083333,0.07110595703125,0.07558186848958333,0.07151285807291667,0.07914225260416667,0.072021484375,0.0067138671875,0.19002278645833334,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
3,0.07588704427083333,0.08992513020833333,0.091552734375,0.0946044921875,0.08453369140625,0.09002685546875,0.08555094401041667,0.09358723958333333,0.08585611979166667,0.007893880208333334,0.2349853515625,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
4,0.08829752604166667,0.10945638020833333,0.11027018229166667,0.10904947916666667,0.0994873046875,0.10579427083333333,0.10030110677083333,0.10670979817708333,0.09958902994791667,0.009328206380208334,0.27984619140625,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
5,0.10009765625,0.12532552083333334,0.12725830078125,0.125732421875,0.11474609375,0.12064615885416667,0.11454264322916667,0.11942545572916667,0.11393229166666667,0.0111083984375,0.3240966796875,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
6,0.10884602864583333,0.13834635416666666,0.14149983723958334,0.14251708984375,0.13071695963541666,0.13519287109375,0.128173828125,0.13346354166666666,0.12674967447916666,0.012939453125,0.3690592447916667,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
7,0.12298583984375,0.15553792317708334,0.15696207682291666,0.16265869140625,0.14719645182291666,0.15126546223958334,0.14292399088541666,0.14862060546875,0.14058430989583334,0.014312744140625,0.4136149088541667,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
8,0.13651529947916666,0.17384847005208334,0.17588297526041666,0.18117268880208334,0.16204833984375,0.16581217447916666,0.15553792317708334,0.16571044921875,0.15472412109375,0.01458740234375,0.4585774739583333,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
9,0.15279134114583334,0.19388834635416666,0.19073486328125,0.19541422526041666,0.17578125,0.17985026041666666,0.16855875651041666,0.18076578776041666,0.16916910807291666,0.015096028645833334,0.50323486328125,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
10,0.17344156901041666,0.21260579427083334,0.2099609375,0.21046956380208334,0.18768310546875,0.19317626953125,0.18117268880208334,0.19419352213541666,0.18218994140625,0.015940348307291668,0.548095703125,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
11,0.18992106119791666,0.23345947265625,0.228271484375,0.22318522135416666,0.19917805989583334,0.20497639973958334,0.19236246744791666,0.20406087239583334,0.19521077473958334,0.017506917317708332,0.59234619140625,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
12,0.19551595052083334,0.24525960286458334,0.24149576822916666,0.23854573567708334,0.21402994791666666,0.21799723307291666,0.20334879557291666,0.21413167317708334,0.20660400390625,0.01953125,0.6368001302083334,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
13,0.21169026692708334,0.2549235026041667,0.2558390299479167,0.2581787109375,0.23345947265625,0.23488362630208334,0.21891276041666666,0.22562662760416666,0.21708170572916666,0.020741780598958332,0.682373046875,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
