#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B201B0
#Date Time: 2024-09-26 11:44:39.477
#Sample rate: 1772.99Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 2.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-2.30994391,0.02673248642253954,0.5558622526652672
-2.30937989,0.02673248642253954,0.5484749803713449
-2.30881587,0.02673248642253969,0.5447813442243805
-2.30825185,0.02706746447891348,0.5373940719304648
-2.30768783,0.02706746447891363,0.5337004357835005
-2.30712381,0.02706746447891363,0.5263131634895781
-2.30655979,0.02706746447891363,0.5226195273426137
-2.30599577,0.02706746447891363,0.5152322550486981
-2.30543175,0.02740244253528773,0.5078449827547726
-2.30486773,0.02740244253528773,0.5041513466078114
-2.30430371,0.02740244253528773,0.4967640743138858
-2.30373969,0.02740244253528773,0.4893768020199703
-2.30317567,0.02740244253528773,0.4856831658730058
-2.30261165,0.02740244253528773,0.4819895297260447
-2.30204763,0.02740244253528773,0.474602257432119
-2.30148361,0.02740244253528773,0.4672149851382036
-2.30091959,0.02740244253528773,0.463521348991239
-2.30035557,0.02740244253528773,0.4561340766973168
-2.29979155,0.02740244253528773,0.4524404405503523
-2.29922753,0.02740244253528773,0.4450531682564368
-2.29866351,0.02740244253528773,0.4413595321094723
-2.29809949,0.02706746447891363,0.43397225981555
-2.29753547,0.02706746447891363,0.4302786236685855
-2.29697145,0.02706746447891363,0.42289135137467
-2.29640743,0.02706746447891363,0.4191977152277055
-2.29584341,0.02673248642253954,0.4118104429337833
-2.29527939,0.02673248642253954,0.4044231706398594
-2.29471537,0.02673248642253954,0.4007295344929016
-2.29415135,0.02673248642253954,0.3970358983459388
-2.29358733,0.02639750836616544,0.3896486260520166
-2.29302331,0.02639750836616529,0.3859549899050521
-2.29245929,0.02606253030979149,0.3785677176111366
-2.29189527,0.02606253030979134,0.3748740814641721
-2.29133125,0.02572755225341724,0.3674868091702498
-2.29076723,0.02572755225341724,0.3600995368763259
-2.29020321,0.02572755225341724,0.3564059007293681
-2.28963919,0.02539257419704315,0.3527122645824053
-2.28907517,0.02539257419704315,0.3453249922884831
-2.28851115,0.02505759614066889,0.3416313561415185
-2.28794713,0.0247226180842951,0.3342440838476031
-2.28738311,0.02472261808429495,0.3268568115536774
-2.28681909,0.02438764002792085,0.3231631754067163
-2.28625507,0.02405266197154676,0.3194695392597552
-2.285691050000001,0.02405266197154676,0.3120822669658363
-2.28512703,0.02371768391517266,0.3083886308188718
-2.28456301,0.02338270585879856,0.3010013585249495
-2.28399899,0.02304772780242446,0.2973077223779884
-2.283434970000001,0.02304772780242446,0.2899204500840696
-2.28287095,0.02271274974605036,0.286226813937105
-2.28230693,0.02237777168967627,0.2788395416431828
-2.28174291,0.02237777168967627,0.2751459054962217
-2.281178890000001,0.02204279363330232,0.2677586332023028
-2.28061487,0.02170781557692807,0.2640649970553383
-2.28005085,0.02137283752055397,0.2603713609083771
-2.27948683,0.02103785946417987,0.2529840886144549
-2.27892281,0.02070288140780562,0.2492904524674905
-2.27835879,0.02036790335143168,0.2419031801735715
-2.27779477,0.02003292529505758,0.2382095440266104
-2.27723075,0.01969794723868348,0.2308222717326882
-2.27666673,0.01936296918230938,0.2271286355857254
-2.27610271,0.01936296918230938,0.2234349994387659
-2.27553869,0.01902799112593529,0.2160477271448437
-2.27497467,0.01902799112593529,0.2086604548509214
-2.27441065,0.01869301306956104,0.2049668187039586
-2.27384663,0.01835803501318724,0.2012731825570009
-2.27328261,0.01802305695681299,0.1975795464100381
-2.27271859,0.0173531008440648,0.1901922741161158
-2.27215457,0.0170181227876904,0.186498637969153
-2.27159055,0.01634816667494281,0.1828050018221952
