,V1,V2,V3,V4,V5,V6,V7,V8,V9,Vr,V0,R0,V0gain,RL1,RL2,RL3,RL4,RL5,RL6,RL7,RL8,RL9,Vg1,Vg2,Vg3,Vg4,Vg5,Vg6,Vg7,Vg8,Vg9
15,0.10498046875,0.09857177734375,0.119781494140625,0.112762451171875,0.121917724609375,0.125885009765625,0.11932373046875,0.12725830078125,0.119781494140625,0.01129150390625,0.3204345703125,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
16,0.10833740234375,0.101165771484375,0.126800537109375,0.11688232421875,0.1287841796875,0.1348876953125,0.1263427734375,0.1336669921875,0.12725830078125,0.012664794921875,0.340576171875,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
17,0.110015869140625,0.108489990234375,0.134735107421875,0.126495361328125,0.137176513671875,0.14190673828125,0.1336669921875,0.14007568359375,0.1336669921875,0.01373291015625,0.360870361328125,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
18,0.114288330078125,0.115966796875,0.142669677734375,0.135650634765625,0.14373779296875,0.149688720703125,0.1397705078125,0.147705078125,0.1397705078125,0.014190673828125,0.380096435546875,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
19,0.12176513671875,0.116424560546875,0.15106201171875,0.1422119140625,0.152130126953125,0.154876708984375,0.146484375,0.156097412109375,0.145416259765625,0.013885498046875,0.40069580078125,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
20,0.135650634765625,0.1239013671875,0.15869140625,0.14801025390625,0.15625,0.162353515625,0.152130126953125,0.16387939453125,0.1531982421875,0.01434326171875,0.42083740234375,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
21,0.142364501953125,0.130462646484375,0.169525146484375,0.153350830078125,0.16204833984375,0.167999267578125,0.15838623046875,0.16876220703125,0.158843994140625,0.014801025390625,0.44036865234375,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
22,0.1507568359375,0.137481689453125,0.178070068359375,0.15533447265625,0.167999267578125,0.174713134765625,0.16326904296875,0.173492431640625,0.165557861328125,0.01556396484375,0.4608154296875,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
23,0.151824951171875,0.14434814453125,0.1861572265625,0.164337158203125,0.17425537109375,0.181884765625,0.169830322265625,0.17822265625,0.171356201171875,0.016937255859375,0.48065185546875,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
24,0.157623291015625,0.1519775390625,0.19775390625,0.17669677734375,0.182647705078125,0.1885986328125,0.17852783203125,0.18402099609375,0.17578125,0.01739501953125,0.500640869140625,100,3.0,10000.0,10500.0,11000.0,11700.0,12000.0,12500.0,13000.0,13700.0,14000.0,2.48,2.53,2.6,2.62,2.4,2.47,2.36,2.48,2.5
